,allele1_PLA_Count_1,allele1_PLA_Count_2,allele1_PLA_Count_3,allele1_PLA_Count_4,allele1_PLA_Count_5,allele1_PLA_Count_6,allele1_PLA_Count_7,allele1_PLA_Count_8,allele1_PLA_Count_9,allele1_PLA_Count_10,allele2_PLA_Count_1,allele2_PLA_Count_2,allele2_PLA_Count_3,allele2_PLA_Count_4,allele2_PLA_Count_5,allele2_PLA_Count_6,allele2_PLA_Count_7,allele2_PLA_Count_8,allele2_PLA_Count_9,allele2_PLA_Count_10
202,508,457,362,428,19,243,437,754,295,0,159,2040,646,598,462,636,569,460,60,0
203,150,833,375,445,164,224,859,408,0,0,379,400,652,181,246,379,0,0,0,0
204,676,154,116,231,446,107,175,342,114,0,371,608,1151,95,849,536,362,0,0,0
205,1774,2105,2291,3234,1462,6588,3437,1386,3500,0,1917,1938,2264,985,948,1003,2044,1374,3476,0
206,642,54,373,224,279,154,403,443,0,0,680,94,337,577,87,309,174,0,0,0
207,960,270,175,253,137,649,358,1120,0,0,216,89,248,155,271,201,0,0,0,0
208,1383,570,1297,269,1495,680,904,533,0,0,61,404,1341,583,168,20,375,56,0,0
209,119,14,173,104,145,31,0,0,0,0,143,117,24,214,167,41,196,35,0,0
210,40,74,1695,1010,304,682,916,550,0,0,638,305,1300,174,533,1549,223,903,0,0
211,2075,1503,2175,1095,216,1587,806,466,548,0,1787,1483,452,860,815,607,734,715,493,0
212,375,698,1158,612,3140,174,2470,565,278,0,2099,1480,416,2337,190,685,4902,968,0,0
213,92,16,20,0,0,0,0,0,0,0,206,42,22,21,26,0,0,0,0,0
214,1326,1877,1311,2329,708,2572,956,615,0,0,420,1036,675,1664,286,1318,1324,1326,931,0
215,166,319,295,556,92,48,231,513,0,0,26,847,162,502,369,200,153,862,485,0
216,5231,3510,2652,5111,3278,3474,5770,3671,5553,0,820,8762,5477,5425,3181,6736,6548,7047,0,0
217,189,283,323,333,698,311,554,468,0,0,424,436,208,340,384,508,2100,310,0,0
218,395,959,643,369,179,591,524,1345,738,0,415,149,344,544,282,255,98,1485,172,0
219,1633,452,502,752,1577,664,1604,1230,0,0,998,619,790,2198,119,3326,1526,1872,766,0
220,739,2055,3180,1141,988,1606,3832,1032,1628,0,2138,419,2123,1952,6284,1983,2540,106,363,0
221,128,152,282,231,112,149,307,258,180,0,138,203,347,914,79,227,145,76,0,0
222,252,680,375,1210,1103,1046,938,818,2004,0,1564,161,452,4125,1867,1148,1792,2048,0,0
223,202,177,63,211,29,17,24,236,0,0,83,113,79,327,97,195,77,169,0,0
224,1901,1064,1511,3086,815,1367,1290,1481,0,0,2943,250,1849,664,1519,2118,1532,962,0,0
225,496,783,1439,783,696,727,1640,481,1303,0,678,447,621,3403,468,286,1920,0,0,0
226,2404,2819,572,1924,1464,607,773,1049,901,0,2308,3637,394,790,2094,573,988,2079,2643,0
227,1330,557,1449,637,2570,544,2632,3017,3118,0,2507,1588,1203,2037,2646,2861,1440,4176,7191,0
228,145,86,897,0,0,0,0,0,0,0,62,21,51,0,0,0,0,0,0,0
229,498,575,1076,1001,2113,738,321,0,0,0,528,141,856,478,1425,1102,444,0,0,0
230,718,243,264,77,228,685,695,51,335,73,4168,8075,10861,7440,11075,7321,6122,14776,11520,4958
231,1105,538,949,3864,956,1212,4685,1451,13,0,1379,2087,1198,941,1685,1436,3679,1855,2700,0
232,61,72,71,58,45,80,54,0,0,0,24,199,62,94,92,46,65,73,0,0
233,547,484,1992,1634,706,1370,1353,868,2470,0,1151,1009,1754,3675,389,1740,45,2437,1166,0
234,1320,1383,153,45,2296,1611,1740,1099,775,0,1131,235,2371,263,2263,1797,531,1274,1921,0
235,466,1057,890,645,967,863,769,319,0,0,290,430,306,479,302,613,915,418,176,0
